S.No,Product Name,Catalog No,CAS Number,Chemical / Systematic Name,Molecular Formula,Molecular Weight,Purity,Stock Status,Sub Category,Main Category,Product Slug,Live Product URL,Image URL,Created Date,Updated Date,MongoDB ID
604,Mupirocin EP Impurity F,PV-M005006,167842-64-0,"7-[[(2E)-4-[(2S,3R,4R,5S)-3,4-dihydroxy-5-[[(2S,3S)-3-[(1S,2S)-2-hydroxy-1-methylpropyl]oxiranyl] methyl]tetrahydro-2H-pyran-2-yl]-3-methylbut-2-enoyl]oxy]heptanoic acid (as per EP); 7-{(E)-4-[(2S,3R,4R,5S)-3,4-Dihydroxy-5-({(2S,3S)-3-[(2S,3S)-3-hydroxybutan-2-yl]oxiran-2-yl}methyl)tetrahydro-2H-pyran-2-yl]-3-methylbut-2-enoyl oxy}heptanoic acid (as per USP)",C24H40O9,472.6,,In Stock,Mupirocin,API Impurity Standards,mupirocin-ep-impurity-f,https://pharmavive.com/products/browse/mupirocin/mupirocin-ep-impurity-f,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753453967/products/eyg2hyotdeki8qzndsgw.png,2025-07-25 14:30:27,2025-07-25 14:32:48,6883950363998afe53414993
605,Mycophenolate Mofetil,PV-M006000,128794-94-5,"2-(Morpholin-4-yl)ethyl (4E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3- dihydroisobenzofuran-5-yl)-4-methylhex-4-enoate (as per EP); 2-Morpholinoethyl (E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-5-phthalanyl)-4-methyl-4-hexenoate (as per USP)",C23H31NO7,433.5,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454090/products/g3wwftniw9gacnzvqfmx.png,2025-07-25 14:33:55,2025-07-25 14:34:50,688395d363998afe534149f9
606,Mycophenolate Mofetil EP Impurity A,PV-M006001,1322681-36-6,"2-(morpholin-4-yl)ethyl (4E)-6-(4,6-dihydroxy-7-methyl-3-oxo-1,3-dihydroisobenzofuran-5-yl)-4-methylhex-4-enoate (as per EP); 2-Morpholinoethyl (E)-6-(1,3-dihydro-4,6-dihydroxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoate (as per USP)",C22H29NO7,419.5,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-a,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-a,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454103/products/flcqxyxt8nymt33qequk.png,2025-07-25 14:33:55,2025-07-25 14:35:04,688395d363998afe534149fd
607,Mycophenolate Mofetil EP Impurity B,PV-M006002,1094322-91-4,"2-(morpholin-4-yl)ethyl (4E)-6-[(1RS)-4-hydroxy-6-methoxy-7-methyl-1-[2-(morpholin-4-yl)ethoxy]-3-oxo-1,3-dihydroisobenzofuran-5-yl]-4-methylhex-4-enoate (as per EP); 2-Morpholinoethyl (RS)-(E)-6-(1,3-dihydro-4-hydroxy-6-methoxy-7-methyl-1-(2-morpholinoethoxy)-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoate (as per USP)",C29H42N2O9,562.7,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-b,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-b,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454116/products/erk6agh4mhupa9menkkh.png,2025-07-25 14:33:56,2025-07-25 14:35:17,688395d463998afe53414a01
608,Mycophenolate Mofetil EP Impurity C,PV-M006003,2286278-51-9,"2-(Morpholin-4-yl)ethyl (4Z)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydroisobenzofuran-5-yl)-4-methylhex-4-enoate (as per EP)",C23H31NO7,433.5,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-c,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-c,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454130/products/or9sqcyawqjjsuonvxlp.png,2025-07-25 14:33:57,2025-07-25 14:35:31,688395d563998afe53414a05
609,Mycophenolate Mofetil EP Impurity D,PV-M006004,1322681-37-7,"2-(Morpholin-4-yl)ethyl (4E)-6-(4,6-dimethoxy-7-methyl-3-oxo-1,3-dihydroisobenzofuran-5-yl)-4-methylhex-4-enoate (as per EP); 2-Morpholinoethyl (E)-6-(1,3-dihydro-4,6-dimethoxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoate (as per USP)",C24H33NO7,447.5,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-d,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-d,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454143/products/gfllburbdpnf1jafai8i.png,2025-07-25 14:33:57,2025-07-25 14:35:43,688395d563998afe53414a09
610,Mycophenolate Mofetil EP Impurity E,PV-M006005,31858-66-9,"methyl (4E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydroisobenzofuran-5-yl)-4-methylhex-4-enoate (as per EP); Methyl (E)-6-(1,3-dihydro-4-hydroxy-6-methoxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoate (as per USP)",C18H22O6,334.4,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-e,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-e,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454155/products/vuwbbzunkaxzcvqqr76w.png,2025-07-25 14:33:58,2025-07-25 14:35:55,688395d663998afe53414a0d
611,Mycophenolate Mofetil EP Impurity F,PV-M006006,24280-93-1,"(4E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo1,3-dihydroisobenzofuran-5-yl)-4-methylhex-4-enoic acid (as per EP); (E)-6-(1,3-Dihydro-4-hydroxy-6-methoxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoic acid (as per USP)",C17H20O6,320.3,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-f,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-f,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454168/products/cim5rh6qeznnlcqtle3r.png,2025-07-25 14:33:59,2025-07-25 14:36:08,688395d763998afe53414a11
612,Mycophenolate Mofetil EP Impurity G,PV-M006007,224052-51-1,"2-(Morpholin-4-yl)ethyl (4E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydroisobenzofuran-5-yl)-4-methylhex-4-enoate N-oxide (as per EP) 2-Morpholinoethyl (E)-6-(1,3-dihydro-4-hydroxy-6-methoxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoate N-oxide (as per USP)",C23H31NO8,449.5,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-g,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-g,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454180/products/n6imuqlaevtp5yavhvmp.png,2025-07-25 14:33:59,2025-07-25 14:36:21,688395d763998afe53414a15
613,Mycophenolate Mofetil EP Impurity H,PV-M006008,26675-76-3,7-hydroxy-5-methoxy-4-methyl-6-[2-[(2RS)-2-methyl-5-oxotetrahydrofuran-2-yl]ethyl]isobenzofuran-1(3H)-one (as per EP); (RS)-7-Hydroxy-5-methoxy-4-methyl-6-[2-(5-methyl-2-oxo-tetrahydrofuran-5-yl)ethyl]-3H-isobenzofuran-1-one (as per USP),C17H20O6,320.3,,In Stock,Mycophenolate Mofetil,API Impurity Standards,mycophenolate-mofetil-ep-impurity-h,https://pharmavive.com/products/browse/mycophenolate-mofetil/mycophenolate-mofetil-ep-impurity-h,https://res.cloudinary.com/dlkh6unr5/image/upload/v1753454193/products/urnrnz6rme314k8crkv5.png,2025-07-25 14:34:00,2025-07-25 14:36:34,688395d863998afe53414a19
